asset_name,category
Inflation-Protected Bond,Fixed Income
EM Debt,Fixed Income
Cash,Cash
US Small Cap,Equity
US Equity,Equity
International Small Cap,Equity
International Equity,Equity
Global Equity,Equity
Emerging Markets Equity,Equity
Real Estate,Real Assets
Ultrashort Bond,Fixed Income
Intermediate Core Bond,Fixed Income
Government Bond,Fixed Income
Loans,Fixed Income
Corporate Bond,Fixed Income
High Yield Bond,Fixed Income
Global Bonds,Fixed Income
Hedge Funds,Alternatives
Private Equity,Private Markets
Muni,Fixed Income
Commodities,Commodities
Aust Equity,Equity
Infrastructure,Real Assets
Venture Capital,Private Markets
Private Debt,Private Markets
